Carrera,Seniority,p50,Confianza
Tecnicatura Superior en Tecnologías de la Información,Senior,,Alta
Tecnicatura Superior en Tecnologías de la Información,Junior,,Alta
Tecnicatura Superior en Tecnologías de la Información,Semi-Senior,,Alta
Tecnico mecanico,Senior,,Alta
Tecnico mecanico,Junior,,Alta
Tecnico mecanico,Semi-Senior,,Alta
Licenciatura en Ciencias Biológicas,Senior,,Alta
Licenciatura en Ciencias Biológicas,Junior,,Alta
Licenciatura en Ciencias Biológicas,Semi-Senior,,Alta
"Tecnicatura en Programación de Videojuegos, de la UNAHUR, que no aparece en el desplegable, qué mal :(",Senior,,Alta
"Tecnicatura en Programación de Videojuegos, de la UNAHUR, que no aparece en el desplegable, qué mal :(",Junior,,Alta
"Tecnicatura en Programación de Videojuegos, de la UNAHUR, que no aparece en el desplegable, qué mal :(",Semi-Senior,,Alta
Tecnicatura Universitaria en Tecnologias de la Informacion,Senior,,Alta
Tecnicatura Universitaria en Tecnologias de la Informacion,Junior,,Alta
Tecnicatura Universitaria en Tecnologias de la Informacion,Semi-Senior,,Alta
Psicologia,Senior,,Alta
Psicologia,Junior,,Alta
Psicologia,Semi-Senior,,Alta
Licenciatura en Ciencias de la Computación,Senior,5500000,Baja
Licenciatura en Ciencias de la Computación,Junior,2900000,Baja
Licenciatura en Ciencias de la Computación,Semi-Senior,5090000,Baja
No aplica ,Senior,,Alta
No aplica ,Junior,,Alta
No aplica ,Semi-Senior,,Alta
Licenciatura en Biotecnologia,Senior,,Alta
Licenciatura en Biotecnologia,Junior,,Alta
Licenciatura en Biotecnologia,Semi-Senior,,Alta
tec sup en soporte a infraestructuras,Senior,,Alta
tec sup en soporte a infraestructuras,Junior,,Alta
tec sup en soporte a infraestructuras,Semi-Senior,,Alta
"Técnico universitario en Redes, Lic. en Tecnología Educativa, Prof. en disciplinas industriales",Senior,,Alta
"Técnico universitario en Redes, Lic. en Tecnología Educativa, Prof. en disciplinas industriales",Junior,,Alta
"Técnico universitario en Redes, Lic. en Tecnología Educativa, Prof. en disciplinas industriales",Semi-Senior,,Alta
Licenciatura en Ciencia de Datos,Senior,3000000,Baja
Licenciatura en Ciencia de Datos,Junior,,Alta
Licenciatura en Ciencia de Datos,Semi-Senior,3300000,Baja
Lic Artes electronicas,Senior,,Alta
Lic Artes electronicas,Junior,,Alta
Lic Artes electronicas,Semi-Senior,,Alta
Licenciatura en tecnologías digitales ,Senior,,Alta
Licenciatura en tecnologías digitales ,Junior,,Alta
Licenciatura en tecnologías digitales ,Semi-Senior,,Alta
Lic. En Psicología ,Senior,,Alta
Lic. En Psicología ,Junior,,Alta
Lic. En Psicología ,Semi-Senior,,Alta
Economía,Senior,4350000,Baja
Economía,Junior,,Alta
Economía,Semi-Senior,,Alta
Tecnicatura en Sistemas,Senior,2600000,Alta
Tecnicatura en Sistemas,Junior,,Alta
Tecnicatura en Sistemas,Semi-Senior,,Alta
"Lic en Psicología, Diplomatura en RRHH",Senior,,Alta
"Lic en Psicología, Diplomatura en RRHH",Junior,,Alta
"Lic en Psicología, Diplomatura en RRHH",Semi-Senior,,Alta
Licenciatura en Ciencias Matematicas,Senior,,Alta
Licenciatura en Ciencias Matematicas,Junior,,Alta
Licenciatura en Ciencias Matematicas,Semi-Senior,,Alta
Fotografía,Senior,,Alta
Fotografía,Junior,,Alta
Fotografía,Semi-Senior,,Alta
Licenciatura en Diseño Gráfico,Senior,,Alta
Licenciatura en Diseño Gráfico,Junior,,Alta
Licenciatura en Diseño Gráfico,Semi-Senior,,Alta
Licenciatura en Sistemas,Senior,,Alta
Licenciatura en Sistemas,Junior,,Alta
Licenciatura en Sistemas,Semi-Senior,,Alta
Actuario,Senior,,Alta
Actuario,Junior,,Alta
Actuario,Semi-Senior,,Alta
Licenciatura en Ciencias Matemáticas,Senior,,Alta
Licenciatura en Ciencias Matemáticas,Junior,,Alta
Licenciatura en Ciencias Matemáticas,Semi-Senior,,Alta
 curso  programador full stack / armado y reparacion de pc (titulo sacar a marzo),Senior,,Alta
 curso  programador full stack / armado y reparacion de pc (titulo sacar a marzo),Junior,,Alta
 curso  programador full stack / armado y reparacion de pc (titulo sacar a marzo),Semi-Senior,,Alta
Ingenieria Geologica,Senior,,Alta
Ingenieria Geologica,Junior,,Alta
Ingenieria Geologica,Semi-Senior,,Alta
Tecnicatura Universitaria en Web,Senior,,Alta
Tecnicatura Universitaria en Web,Junior,,Alta
Tecnicatura Universitaria en Web,Semi-Senior,,Alta
Marketing y Recursos Humanos,Senior,,Alta
Marketing y Recursos Humanos,Junior,,Alta
Marketing y Recursos Humanos,Semi-Senior,,Alta
Tecnico en Emergencias Medicas,Senior,,Alta
Tecnico en Emergencias Medicas,Junior,,Alta
Tecnico en Emergencias Medicas,Semi-Senior,,Alta
Bootcamp,Senior,,Alta
Bootcamp,Junior,,Alta
Bootcamp,Semi-Senior,,Alta
Licenciado en música,Senior,,Alta
Licenciado en música,Junior,,Alta
Licenciado en música,Semi-Senior,,Alta
Tecnicatura en Infraestructura,Senior,,Alta
Tecnicatura en Infraestructura,Junior,,Alta
Tecnicatura en Infraestructura,Semi-Senior,,Alta
licenciatura en ciencias fisicas,Senior,,Alta
licenciatura en ciencias fisicas,Junior,,Alta
licenciatura en ciencias fisicas,Semi-Senior,,Alta
Sociología,Senior,,Alta
Sociología,Junior,,Alta
Sociología,Semi-Senior,,Alta
Tecnicatura en administración ,Senior,,Alta
Tecnicatura en administración ,Junior,,Alta
Tecnicatura en administración ,Semi-Senior,,Alta
Licenciatura en Ciencia Política,Senior,,Alta
Licenciatura en Ciencia Política,Junior,,Alta
Licenciatura en Ciencia Política,Semi-Senior,,Alta
Tecnicatura superior en Desarrollo de software,Senior,,Alta
Tecnicatura superior en Desarrollo de software,Junior,,Alta
Tecnicatura superior en Desarrollo de software,Semi-Senior,,Alta
Licenciatura en Publicidad,Senior,,Alta
Licenciatura en Publicidad,Junior,,Alta
Licenciatura en Publicidad,Semi-Senior,,Alta
Tecnicatura en Informática,Senior,3200000,Baja
Tecnicatura en Informática,Junior,1668000,Baja
Tecnicatura en Informática,Semi-Senior,2275000,Alta
Ingeniería Electrónica,Senior,4900000,Alta
Ingeniería Electrónica,Junior,,Alta
Ingeniería Electrónica,Semi-Senior,3317061,Baja
Licenciatura en Ciencias Físicas - Doctorado en Ciencias Físicas,Senior,,Alta
Licenciatura en Ciencias Físicas - Doctorado en Ciencias Físicas,Junior,,Alta
Licenciatura en Ciencias Físicas - Doctorado en Ciencias Físicas,Semi-Senior,,Alta
Hice cursos para entrar en el rubro. ,Senior,,Alta
Hice cursos para entrar en el rubro. ,Junior,,Alta
Hice cursos para entrar en el rubro. ,Semi-Senior,,Alta
Ingeniería Mecatrónica,Senior,,Alta
Ingeniería Mecatrónica,Junior,,Alta
Ingeniería Mecatrónica,Semi-Senior,4306935,Baja
Ingeniería Biomédica,Senior,2300000,Baja
Ingeniería Biomédica,Junior,,Alta
Ingeniería Biomédica,Semi-Senior,3745900,Baja
Diseño gráfico y Tecnica en Programacion,Senior,,Alta
Diseño gráfico y Tecnica en Programacion,Junior,,Alta
Diseño gráfico y Tecnica en Programacion,Semi-Senior,,Alta
Doctor en Ciencias Informáticas + Postdoc en AI + Doctorado en Filosofía de la IA (en curso),Senior,,Alta
Doctor en Ciencias Informáticas + Postdoc en AI + Doctorado en Filosofía de la IA (en curso),Junior,,Alta
Doctor en Ciencias Informáticas + Postdoc en AI + Doctorado en Filosofía de la IA (en curso),Semi-Senior,,Alta
Ingeniería Civil,Senior,,Alta
Ingeniería Civil,Junior,,Alta
Ingeniería Civil,Semi-Senior,,Alta
Cs Amb,Senior,,Alta
Cs Amb,Junior,,Alta
Cs Amb,Semi-Senior,,Alta
Tecnicatura Universitaria en Desarrollo Web,Senior,,Alta
Tecnicatura Universitaria en Desarrollo Web,Junior,,Alta
Tecnicatura Universitaria en Desarrollo Web,Semi-Senior,,Alta
Diseño Gráfico FADU y Postrgrado en Usabilidad y Accesibilidad UTN,Senior,,Alta
Diseño Gráfico FADU y Postrgrado en Usabilidad y Accesibilidad UTN,Junior,,Alta
Diseño Gráfico FADU y Postrgrado en Usabilidad y Accesibilidad UTN,Semi-Senior,,Alta
Lic. en Publicidad,Senior,,Alta
Lic. en Publicidad,Junior,,Alta
Lic. en Publicidad,Semi-Senior,,Alta
2 carreras Univ Lic analisis de sistemas y adm de empresas ,Senior,,Alta
2 carreras Univ Lic analisis de sistemas y adm de empresas ,Junior,,Alta
2 carreras Univ Lic analisis de sistemas y adm de empresas ,Semi-Senior,,Alta
Traducción/interpretación español-inglés ,Senior,,Alta
Traducción/interpretación español-inglés ,Junior,,Alta
Traducción/interpretación español-inglés ,Semi-Senior,,Alta
Licenciatura en Análisis de Sistemas,Senior,4267238,Baja
Licenciatura en Análisis de Sistemas,Junior,,Alta
Licenciatura en Análisis de Sistemas,Semi-Senior,,Alta
Doctorado en Física,Senior,,Alta
Doctorado en Física,Junior,,Alta
Doctorado en Física,Semi-Senior,,Alta
Tecnicatura Electrónica,Senior,1698515,Baja
Tecnicatura Electrónica,Junior,,Alta
Tecnicatura Electrónica,Semi-Senior,,Alta
Licenciatura en Informática,Senior,5000000,Baja
Licenciatura en Informática,Junior,,Alta
Licenciatura en Informática,Semi-Senior,1700000,Baja
Realizador en Cine y Televesión,Senior,,Alta
Realizador en Cine y Televesión,Junior,,Alta
Realizador en Cine y Televesión,Semi-Senior,,Alta
Ingeniería Industrial,Senior,6000000,Baja
Ingeniería Industrial,Junior,,Alta
Ingeniería Industrial,Semi-Senior,4010372,Baja
Ingeniería Química,Senior,,Alta
Ingeniería Química,Junior,,Alta
Ingeniería Química,Semi-Senior,,Alta
Ingeniería Mecánica,Senior,,Alta
Ingeniería Mecánica,Junior,,Alta
Ingeniería Mecánica,Semi-Senior,2827068,Alta
Lic. en Psicologia,Senior,,Alta
Lic. en Psicologia,Junior,,Alta
Lic. en Psicologia,Semi-Senior,,Alta
Técnico superior en recursos humanos ,Senior,,Alta
Técnico superior en recursos humanos ,Junior,,Alta
Técnico superior en recursos humanos ,Semi-Senior,,Alta
Ingeniería en Sonido,Senior,,Alta
Ingeniería en Sonido,Junior,,Alta
Ingeniería en Sonido,Semi-Senior,,Alta
Tecnicatura superior en desarrollo de software ,Senior,,Alta
Tecnicatura superior en desarrollo de software ,Junior,,Alta
Tecnicatura superior en desarrollo de software ,Semi-Senior,,Alta
Maestria en RRHH,Senior,,Alta
Maestria en RRHH,Junior,,Alta
Maestria en RRHH,Semi-Senior,,Alta
Tecnicatura en Computación,Senior,2875500,Baja
Tecnicatura en Computación,Junior,,Alta
Tecnicatura en Computación,Semi-Senior,,Alta
Tecnicatura en Desarrollo Web,Senior,,Alta
Tecnicatura en Desarrollo Web,Junior,,Alta
Tecnicatura en Desarrollo Web,Semi-Senior,,Alta
Licenciatura en Psicologia,Senior,,Alta
Licenciatura en Psicologia,Junior,,Alta
Licenciatura en Psicologia,Semi-Senior,,Alta
Contaduría,Senior,,Alta
Contaduría,Junior,,Alta
Contaduría,Semi-Senior,3188205,Baja
Lic. Diseño e innovación  de moda,Senior,,Alta
Lic. Diseño e innovación  de moda,Junior,,Alta
Lic. Diseño e innovación  de moda,Semi-Senior,,Alta
Diseño Gráfico,Senior,2650000,Baja
Diseño Gráfico,Junior,1824000,Baja
Diseño Gráfico,Semi-Senior,2636000,Baja
Diseño de Imágen y Sonido,Senior,,Alta
Diseño de Imágen y Sonido,Junior,,Alta
Diseño de Imágen y Sonido,Semi-Senior,2152987,Baja
Analista Universitario de Sistemas,Senior,6473500,Alta
Analista Universitario de Sistemas,Junior,,Alta
Analista Universitario de Sistemas,Semi-Senior,3100000,Baja
Licenciatura en Tecnología Multimedial,Senior,,Alta
Licenciatura en Tecnología Multimedial,Junior,,Alta
Licenciatura en Tecnología Multimedial,Semi-Senior,,Alta
Analista Programador,Senior,3182349,Baja
Analista Programador,Junior,,Alta
Analista Programador,Semi-Senior,,Alta
Inteligencia Artificial,Senior,,Alta
Inteligencia Artificial,Junior,,Alta
Inteligencia Artificial,Semi-Senior,,Alta
Tecnicatura en Programación,Senior,3600000,Baja
Tecnicatura en Programación,Junior,1398000,Baja
Tecnicatura en Programación,Semi-Senior,2325000,Alta
Ingeniería en Sistemas de Información,Senior,5038374,Alta
Ingeniería en Sistemas de Información,Junior,2150000,Baja
Ingeniería en Sistemas de Información,Semi-Senior,3000000,Baja
Licenciatura en Sistemas de Información,Senior,4232451,Alta
Licenciatura en Sistemas de Información,Junior,2225000,Baja
Licenciatura en Sistemas de Información,Semi-Senior,2500000,Alta
Ciencias Sociales,Senior,,Alta
Ciencias Sociales,Junior,,Alta
Ciencias Sociales,Semi-Senior,,Alta
Administración de Empresas mención RRHH,Senior,,Alta
Administración de Empresas mención RRHH,Junior,,Alta
Administración de Empresas mención RRHH,Semi-Senior,,Alta
"Tecnico Superior en Redes Informaticas, En TECLAB (siempre que respondo nunca esta en la lista)",Senior,,Alta
"Tecnico Superior en Redes Informaticas, En TECLAB (siempre que respondo nunca esta en la lista)",Junior,,Alta
"Tecnico Superior en Redes Informaticas, En TECLAB (siempre que respondo nunca esta en la lista)",Semi-Senior,,Alta
Física,Senior,,Alta
Física,Junior,,Alta
Física,Semi-Senior,,Alta
Licenciatura en gastronomía ,Senior,,Alta
Licenciatura en gastronomía ,Junior,,Alta
Licenciatura en gastronomía ,Semi-Senior,,Alta
Arquitectura,Senior,,Alta
Arquitectura,Junior,,Alta
Arquitectura,Semi-Senior,,Alta
Psicología / Diplomatura en UX Research ,Senior,,Alta
Psicología / Diplomatura en UX Research ,Junior,,Alta
Psicología / Diplomatura en UX Research ,Semi-Senior,,Alta
Tecnicatura en electricidad,Senior,,Alta
Tecnicatura en electricidad,Junior,,Alta
Tecnicatura en electricidad,Semi-Senior,,Alta
Tecnico Superior en Computacion y Redes de Datos,Senior,,Alta
Tecnico Superior en Computacion y Redes de Datos,Junior,,Alta
Tecnico Superior en Computacion y Redes de Datos,Semi-Senior,,Alta
Licenciatura en Gestión de Información,Senior,,Alta
Licenciatura en Gestión de Información,Junior,,Alta
Licenciatura en Gestión de Información,Semi-Senior,,Alta
Analista Programador Universitario,Senior,2600000,Baja
Analista Programador Universitario,Junior,,Alta
Analista Programador Universitario,Semi-Senior,,Alta
tecnicatura en post produccion audiovisual,Senior,,Alta
tecnicatura en post produccion audiovisual,Junior,,Alta
tecnicatura en post produccion audiovisual,Semi-Senior,,Alta
Diplomatura en UX con estándares de usabilidad y accesibilidad,Senior,,Alta
Diplomatura en UX con estándares de usabilidad y accesibilidad,Junior,,Alta
Diplomatura en UX con estándares de usabilidad y accesibilidad,Semi-Senior,,Alta
técnico universitario en redes y telecomunicaciones,Senior,,Alta
técnico universitario en redes y telecomunicaciones,Junior,,Alta
técnico universitario en redes y telecomunicaciones,Semi-Senior,,Alta
Comercio Internacional,Senior,,Alta
Comercio Internacional,Junior,,Alta
Comercio Internacional,Semi-Senior,,Alta
Gastronomía,Senior,,Alta
Gastronomía,Junior,,Alta
Gastronomía,Semi-Senior,,Alta
Licenciado en Periodismo ,Senior,,Alta
Licenciado en Periodismo ,Junior,,Alta
Licenciado en Periodismo ,Semi-Senior,,Alta
Física ,Senior,,Alta
Física ,Junior,,Alta
Física ,Semi-Senior,,Alta
Diseño Multimedial,Senior,3300000,Baja
Diseño Multimedial,Junior,,Alta
Diseño Multimedial,Semi-Senior,,Alta
