Lenguaje de Programación,Seniority,p50,Confianza,Dolarización
R,Senior,4400000,Baja,Dolarizado
R,Junior,1952000,Baja,No dolarizado
R,Junior,2434809,Alta,Dolarizado
R,Semi-Senior,2532364,Baja,No dolarizado
R,Semi-Senior,3250000,Baja,Dolarizado
TypeScript,Senior,3919000,Alta,No dolarizado
TypeScript,Senior,6345000,Alta,Dolarizado
TypeScript,Junior,1568000,Alta,No dolarizado
TypeScript,Junior,1802500,Alta,Dolarizado
TypeScript,Semi-Senior,2539034,Alta,No dolarizado
TypeScript,Semi-Senior,3440000,Alta,Dolarizado
Go,Senior,4700000,Alta,No dolarizado
Go,Senior,7000000,Alta,Dolarizado
Go,Junior,3065824,Baja,No dolarizado
Go,Junior,,Alta,Dolarizado
Go,Semi-Senior,3150000,Alta,No dolarizado
Go,Semi-Senior,4200000,Baja,Dolarizado
C++,Senior,3900000,Alta,No dolarizado
C++,Senior,6449050,Alta,Dolarizado
C++,Junior,1840000,Baja,No dolarizado
C++,Junior,1200000,Alta,Dolarizado
C++,Semi-Senior,2450000,Alta,No dolarizado
C++,Semi-Senior,2560000,Baja,Dolarizado
Assembler,Senior,2400000,Baja,No dolarizado
Assembler,Senior,7000000,Baja,Dolarizado
Assembler,Junior,1982000,Alta,No dolarizado
Assembler,Junior,,Alta,Dolarizado
Assembler,Semi-Senior,,Alta,No dolarizado
Assembler,Semi-Senior,,Alta,Dolarizado
COBOL,Senior,4268243,Alta,No dolarizado
COBOL,Senior,5150000,Baja,Dolarizado
COBOL,Junior,1700000,Alta,No dolarizado
COBOL,Junior,1200000,Alta,Dolarizado
COBOL,Semi-Senior,3880000,Baja,No dolarizado
COBOL,Semi-Senior,1681233,Baja,Dolarizado
ABAP,Senior,4290000,Alta,No dolarizado
ABAP,Senior,6600000,Baja,Dolarizado
ABAP,Junior,1200000,Alta,No dolarizado
ABAP,Junior,,Alta,Dolarizado
ABAP,Semi-Senior,2300000,Baja,No dolarizado
ABAP,Semi-Senior,,Alta,Dolarizado
Powershell,Senior,7000000,Baja,No dolarizado
Powershell,Senior,4500000,Baja,Dolarizado
Powershell,Junior,,Alta,No dolarizado
Powershell,Junior,,Alta,Dolarizado
Powershell,Semi-Senior,2608332,Baja,No dolarizado
Powershell,Semi-Senior,,Alta,Dolarizado
Bash/Shell,Senior,3827508,Alta,No dolarizado
Bash/Shell,Senior,6000000,Alta,Dolarizado
Bash/Shell,Junior,2200000,Alta,No dolarizado
Bash/Shell,Junior,2376178,Baja,Dolarizado
Bash/Shell,Semi-Senior,2600000,Alta,No dolarizado
Bash/Shell,Semi-Senior,3478000,Alta,Dolarizado
Objective-C,Senior,9750000,Alta,No dolarizado
Objective-C,Senior,4400000,Baja,Dolarizado
Objective-C,Junior,,Alta,No dolarizado
Objective-C,Junior,,Alta,Dolarizado
Objective-C,Semi-Senior,4046330,Baja,No dolarizado
Objective-C,Semi-Senior,,Alta,Dolarizado
Python,Senior,3894280,Alta,No dolarizado
Python,Senior,6000000,Alta,Dolarizado
Python,Junior,1840000,Alta,No dolarizado
Python,Junior,1800000,Alta,Dolarizado
Python,Semi-Senior,2851000,Alta,No dolarizado
Python,Semi-Senior,3437493,Alta,Dolarizado
Ruby,Senior,4260000,Alta,No dolarizado
Ruby,Senior,6500000,Baja,Dolarizado
Ruby,Junior,3218011,Alta,No dolarizado
Ruby,Junior,,Alta,Dolarizado
Ruby,Semi-Senior,2750000,Baja,No dolarizado
Ruby,Semi-Senior,2838875,Baja,Dolarizado
