Plataforma,Seniority,p50,Confianza,Dolarización
Ninguna de las anteriores,Semi-Senior,2447732,Alta,No dolarizado
Ninguna de las anteriores,Semi-Senior,3000000,Alta,Dolarizado
Serverless,Senior,4800000,Alta,No dolarizado
Serverless,Senior,6500000,Alta,Dolarizado
Serverless,Junior,2000000,Alta,No dolarizado
Serverless,Junior,2970000,Baja,Dolarizado
Serverless,Semi-Senior,3200000,Alta,No dolarizado
Serverless,Semi-Senior,3550000,Alta,Dolarizado
Arduino o similar,Senior,3171969,Alta,No dolarizado
Arduino o similar,Senior,6500000,Baja,Dolarizado
Arduino o similar,Junior,1345771,Baja,No dolarizado
Arduino o similar,Junior,,Alta,Dolarizado
Arduino o similar,Semi-Senior,2200000,Baja,No dolarizado
Arduino o similar,Semi-Senior,2467000,Baja,Dolarizado
AIX,Senior,4500000,Baja,No dolarizado
AIX,Senior,3400000,Baja,Dolarizado
AIX,Junior,2090000,Baja,No dolarizado
AIX,Junior,,Alta,Dolarizado
AIX,Semi-Senior,2300000,Baja,No dolarizado
AIX,Semi-Senior,,Alta,Dolarizado
Docker,Senior,4000000,Alta,No dolarizado
Docker,Senior,6250000,Alta,Dolarizado
Docker,Junior,1737059,Alta,No dolarizado
Docker,Junior,2100000,Alta,Dolarizado
Docker,Semi-Senior,2700000,Alta,No dolarizado
Docker,Semi-Senior,3500000,Alta,Dolarizado
HP-UX,Senior,4316500,Baja,No dolarizado
HP-UX,Senior,9425000,Baja,Dolarizado
HP-UX,Junior,,Alta,No dolarizado
HP-UX,Junior,,Alta,Dolarizado
HP-UX,Semi-Senior,2000000,Baja,No dolarizado
HP-UX,Semi-Senior,,Alta,Dolarizado
Salesforce,Senior,5400000,Baja,No dolarizado
Salesforce,Senior,5000000,Baja,Dolarizado
Salesforce,Junior,1179363,Baja,No dolarizado
Salesforce,Junior,,Alta,Dolarizado
Salesforce,Semi-Senior,1733976,Baja,No dolarizado
Salesforce,Semi-Senior,2340000,Baja,Dolarizado
Proxmox,Senior,1940000,Baja,No dolarizado
Proxmox,Senior,3600000,Baja,Dolarizado
Proxmox,Junior,,Alta,No dolarizado
Proxmox,Junior,,Alta,Dolarizado
Proxmox,Semi-Senior,2095456,Baja,No dolarizado
Proxmox,Semi-Senior,,Alta,Dolarizado
VMWare,Senior,3490000,Alta,No dolarizado
VMWare,Senior,4500000,Alta,Dolarizado
VMWare,Junior,1800000,Alta,No dolarizado
VMWare,Junior,2251839,Baja,Dolarizado
VMWare,Semi-Senior,2379750,Alta,No dolarizado
VMWare,Semi-Senior,3100000,Baja,Dolarizado
OpenStack,Senior,4877000,Alta,No dolarizado
OpenStack,Senior,5900000,Baja,Dolarizado
OpenStack,Junior,,Alta,No dolarizado
OpenStack,Junior,1640000,Alta,Dolarizado
OpenStack,Semi-Senior,2595000,Baja,No dolarizado
OpenStack,Semi-Senior,1450000,Baja,Dolarizado
SAP,Senior,3700000,Alta,No dolarizado
SAP,Senior,4500000,Baja,Dolarizado
SAP,Junior,1910000,Baja,No dolarizado
SAP,Junior,1813495,Baja,Dolarizado
SAP,Semi-Senior,2440000,Alta,No dolarizado
SAP,Semi-Senior,1800346,Baja,Dolarizado
OpenShift,Senior,4500000,Alta,No dolarizado
OpenShift,Senior,5618112,Alta,Dolarizado
OpenShift,Junior,2248243,Baja,No dolarizado
OpenShift,Junior,,Alta,Dolarizado
OpenShift,Semi-Senior,3057227,Alta,No dolarizado
OpenShift,Semi-Senior,3815921,Baja,Dolarizado
Firebase,Senior,3859500,Alta,No dolarizado
Firebase,Senior,5889280,Alta,Dolarizado
Firebase,Junior,1566958,Baja,No dolarizado
Firebase,Junior,1487500,Baja,Dolarizado
Firebase,Semi-Senior,2300000,Alta,No dolarizado
Firebase,Semi-Senior,3100000,Alta,Dolarizado
Linux,Senior,3700000,Alta,No dolarizado
Linux,Senior,6000000,Alta,Dolarizado
Linux,Junior,1783683,Alta,No dolarizado
Linux,Junior,1700000,Alta,Dolarizado
Linux,Semi-Senior,2500000,Alta,No dolarizado
Linux,Semi-Senior,3309700,Alta,Dolarizado
IBM Cloud / Watson,Senior,4500000,Baja,No dolarizado
IBM Cloud / Watson,Senior,4500000,Baja,Dolarizado
IBM Cloud / Watson,Junior,3354700,Baja,No dolarizado
IBM Cloud / Watson,Junior,,Alta,Dolarizado
IBM Cloud / Watson,Semi-Senior,2121000,Baja,No dolarizado
IBM Cloud / Watson,Semi-Senior,4500000,Baja,Dolarizado
Solaris,Senior,3700000,Baja,No dolarizado
Solaris,Senior,8712500,Baja,Dolarizado
Solaris,Junior,,Alta,No dolarizado
Solaris,Junior,,Alta,Dolarizado
Solaris,Semi-Senior,2500000,Baja,No dolarizado
Solaris,Semi-Senior,2306024,Baja,Dolarizado
Kubernetes,Senior,4500000,Alta,No dolarizado
Kubernetes,Senior,7000000,Alta,Dolarizado
Kubernetes,Junior,2300000,Baja,No dolarizado
Kubernetes,Junior,2544249,Baja,Dolarizado
Kubernetes,Semi-Senior,3087933,Alta,No dolarizado
Kubernetes,Semi-Senior,3755700,Alta,Dolarizado
